exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial
F,2,random_b,base,8,cls,scene_pooled,base,friction_slide,600,600,r2,-0.0019134622211665064,-0.012294909832211542,0.0027614876383450274,0.0
F,2,random_b,base,8,cls,scene_pooled,base,log_mass,600,600,r2,-0.0018004577495234209,-0.01441029785272897,0.003187937403425555,0.0
F,2,random_b,base,8,mean,scene_pooled,base,friction_slide,600,600,r2,-0.0012963127284497666,-0.011304791080423048,0.0031229406702696105,0.0
F,2,random_b,base,8,mean,scene_pooled,base,log_mass,600,600,r2,-0.0011287409011440097,-0.013422933281236681,0.0032645691907639287,0.0
F,2,videomae_b,base,11,mean,real,base,friction_slide,600,600,r2,0.3459906191438842,0.2882617649888062,0.3953617550023018,0.0
F,2,videomae_b,base,11,mean,real,base,log_mass,600,600,r2,-0.00033826408789061624,-0.012595155295214506,0.005137809081300844,0.0
F,2,videomae_b,base,2,mean,real,base,friction_slide,600,600,r2,0.19481211844174007,0.12716255384302488,0.2590262976065529,0.0
F,2,videomae_b,base,2,mean,real,base,log_mass,600,600,r2,-0.0008351470547218742,-0.012718708141343505,0.004052420388639877,0.0
F,2,videomae_b,base,5,mean,real,base,friction_slide,600,600,r2,0.37627068381484763,0.31619489171283877,0.4306582171243985,0.0
F,2,videomae_b,base,5,mean,real,base,log_mass,600,600,r2,-0.0005141596239506274,-0.012585590778207562,0.004444177769604666,0.0
F,2,videomae_b,base,8,mean,real,base,friction_slide,600,600,r2,0.3915845496822653,0.33288693519566026,0.44250252008934,0.0
F,2,videomae_b,base,8,mean,real,base,log_mass,600,600,r2,0.00017237371864919915,-0.012321560509838236,0.0055097667101658195,0.0
F,2,vjepa2,base,11,mean,real,base,friction_slide,600,600,r2,0.5173028921018025,0.460126161147499,0.5630134065496273,0.0
F,2,vjepa2,base,11,mean,real,base,log_mass,600,600,r2,0.00018307990353449988,-0.011819544378110142,0.005557147246699231,0.0
F,2,vjepa2,base,17,mean,real,base,friction_slide,600,600,r2,0.5991001729206531,0.5547686053194115,0.6397803752309996,0.0
F,2,vjepa2,base,17,mean,real,base,log_mass,600,600,r2,-0.0008688448386771075,-0.012299267858584284,0.0034492419223211422,0.0
F,2,vjepa2,base,23,mean,real,base,friction_slide,600,600,r2,0.5710911878415843,0.5243737997275992,0.6159686217775695,0.0
F,2,vjepa2,base,23,mean,real,base,log_mass,600,600,r2,-0.003252690761634147,-0.014828521586541066,0.0018271757260082614,0.0
F,2,vjepa2,base,5,mean,real,base,friction_slide,600,600,r2,0.3985877287545041,0.3346436521087929,0.4546855818337593,0.0
F,2,vjepa2,base,5,mean,real,base,log_mass,600,600,r2,-0.0008476630153408937,-0.012460081052439658,0.004110508763669938,0.0
F,3,dinov2_b,base,11,cls,scene_pooled,base,friction_slide,600,600,r2,0.011610241290993528,-0.02647987247344824,0.046133199706755015,0.0
F,3,dinov2_b,base,11,cls,scene_pooled,base,log_mass,600,600,r2,-0.0001645752097789721,-0.009665852453618696,0.003193035711233335,0.0
F,3,dinov2_b,base,11,mean,scene_pooled,base,friction_slide,600,600,r2,-0.0013209282375354903,-0.052117537787312485,0.04400900069096573,0.0
F,3,dinov2_b,base,11,mean,scene_pooled,base,log_mass,600,600,r2,-0.0008975571185632081,-0.010677613280275371,0.003642218707445518,0.0
F,3,dinov2_b,base,2,cls,scene_pooled,base,friction_slide,600,600,r2,6.983704210794528e-05,-0.010582554304409636,0.0042297331894660915,0.0
F,3,dinov2_b,base,2,cls,scene_pooled,base,log_mass,600,600,r2,-4.519056363649909e-05,-0.009445953665530315,0.0029702217731754485,0.0
F,3,dinov2_b,base,2,mean,scene_pooled,base,friction_slide,600,600,r2,-0.001394513548540699,-0.012224463234931598,0.0031172140623334783,0.0
F,3,dinov2_b,base,2,mean,scene_pooled,base,log_mass,600,600,r2,0.001988835590220339,-0.008178063568659761,0.007208603889935636,0.0
F,3,dinov2_b,base,5,cls,scene_pooled,base,friction_slide,600,600,r2,1.2803582442377781e-05,-0.010621308537632951,0.004052935248093833,0.0
F,3,dinov2_b,base,5,cls,scene_pooled,base,log_mass,600,600,r2,0.0016884003344753706,-0.007993152749823868,0.005282360178812133,0.0
F,3,dinov2_b,base,5,mean,scene_pooled,base,friction_slide,600,600,r2,0.00019493910689094562,-0.01136590443796882,0.004919062272158359,0.0
F,3,dinov2_b,base,5,mean,scene_pooled,base,log_mass,600,600,r2,0.002167361532479317,-0.007874181996481966,0.007499958292085293,0.0
F,3,dinov2_b,base,8,cls,scene_pooled,base,friction_slide,600,600,r2,0.0062102667952806945,-0.029332741332816104,0.03908580710672791,0.0
