exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial,majority_rate
E,3,dinov2_b,paired,11,mean,transfer,base,obj_pos_x,6000,600,r2,0.9238460107522043,0.9157223139388092,0.931217137480202,0.0,
E,3,dinov2_b,paired,11,mean,transfer,base,obj_pos_y,6000,600,r2,0.8952681703489832,0.8820526668345849,0.9065804267579016,0.0,
E,3,dinov2_b,paired,11,mean,transfer,base,obj_speed,6000,600,r2,0.23572837124020019,0.2092330826111576,0.2591802238549895,0.0,
E,3,dinov2_b,paired,11,mean,transfer,base,support_state,6000,600,balanced_accuracy,0.7533507360492981,0.7342380933207128,0.7711582726841654,0.5,0.8466666666666667
E,3,dinov2_b,paired,11,mean,transfer,base,support_state,6000,600,auroc,0.8933032351934269,0.8801116993181761,0.9057404193364629,0.5,0.8466666666666667
E,3,dinov2_b,paired,11,mean,transfer,occluded,contact_state,1760,176,balanced_accuracy,0.7369791666666666,0.71875,0.7542613636363636,0.5,0.6
E,3,dinov2_b,paired,11,mean,transfer,occluded,contact_state,1760,176,auroc,0.8354424931129476,0.8253954674586776,0.8459400355651687,0.5,0.6
E,3,dinov2_b,paired,11,mean,transfer,occluded,ee_obj_dist,1760,176,r2,0.6693119959435337,0.6434044511661311,0.6930326545209533,0.0,
E,3,dinov2_b,paired,11,mean,transfer,occluded,friction_slide,1760,176,r2,-0.017799510561522514,-0.05980739300200151,0.008771912891196812,0.0,
E,3,dinov2_b,paired,11,mean,transfer,occluded,log_mass,1760,176,r2,0.005337737475256454,-0.028441370095586494,0.02044974990199207,0.0,
E,3,dinov2_b,paired,11,mean,transfer,occluded,obj_pos_x,1760,176,r2,0.7168795768745535,0.6858932177966828,0.7433671476611785,0.0,
E,3,dinov2_b,paired,11,mean,transfer,occluded,obj_pos_y,1760,176,r2,0.27447814566634865,0.17136950353015984,0.35054774530976013,0.0,
E,3,dinov2_b,paired,11,mean,transfer,occluded,obj_speed,1760,176,r2,0.013545309768832059,-0.03159425470845395,0.04992714138604415,0.0,
E,3,dinov2_b,paired,11,mean,transfer,occluded,support_state,1760,176,balanced_accuracy,0.5327119065374099,0.5146664851176619,0.5536469312501148,0.5,0.8465909090909091
E,3,dinov2_b,paired,11,mean,transfer,occluded,support_state,1760,176,auroc,0.7063161819537659,0.6698147180584649,0.741642903412381,0.5,0.8465909090909091
E,3,dinov2_b,paired,8,cls,transfer,base,contact_state,6000,600,balanced_accuracy,0.8916666666666666,0.8840260416666667,0.899375,0.5,0.6
E,3,dinov2_b,paired,8,cls,transfer,base,contact_state,6000,600,auroc,0.9608611111111112,0.9567772309027778,0.9650654195601852,0.5,0.6
E,3,dinov2_b,paired,8,cls,transfer,base,ee_obj_dist,6000,600,r2,0.9296379327178175,0.9246104684363428,0.9345215631107862,0.0,
E,3,dinov2_b,paired,8,cls,transfer,base,friction_slide,6000,600,r2,-0.0016254757407376808,-0.01812436597302424,0.011486618637821997,0.0,
E,3,dinov2_b,paired,8,cls,transfer,base,log_mass,6000,600,r2,-0.0017879794212560807,-0.014301945688154728,0.006087727886879734,0.0,
E,3,dinov2_b,paired,8,cls,transfer,base,obj_pos_x,6000,600,r2,0.9264977412458871,0.9196242176550388,0.9331178223427496,0.0,
E,3,dinov2_b,paired,8,cls,transfer,base,obj_pos_y,6000,600,r2,0.8836706169518783,0.8723537920124865,0.893953056180163,0.0,
E,3,dinov2_b,paired,8,cls,transfer,base,obj_speed,6000,600,r2,0.22648979964197258,0.19971622518469148,0.25031362802549284,0.0,
E,3,dinov2_b,paired,8,cls,transfer,base,support_state,6000,600,balanced_accuracy,0.7560082163642589,0.7378972418308062,0.772891981110515,0.5,0.8466666666666667
E,3,dinov2_b,paired,8,cls,transfer,base,support_state,6000,600,auroc,0.8841075402259501,0.8705686227228993,0.8973621887685341,0.5,0.8466666666666667
E,3,dinov2_b,paired,8,cls,transfer,occluded,contact_state,1760,176,balanced_accuracy,0.8316761363636365,0.8195963541666667,0.8435132575757576,0.5,0.6
E,3,dinov2_b,paired,8,cls,transfer,occluded,contact_state,1760,176,auroc,0.8819260610365014,0.8711796027569731,0.8923659311509986,0.5,0.6
E,3,dinov2_b,paired,8,cls,transfer,occluded,ee_obj_dist,1760,176,r2,0.5399139488003812,0.501553950009096,0.5751788738177845,0.0,
E,3,dinov2_b,paired,8,cls,transfer,occluded,friction_slide,1760,176,r2,-0.0173520934736644,-0.058927990976934186,0.005692148895519016,0.0,
E,3,dinov2_b,paired,8,cls,transfer,occluded,log_mass,1760,176,r2,0.00027631997534827146,-0.033161764673595204,0.015174804814199529,0.0,
E,3,dinov2_b,paired,8,cls,transfer,occluded,obj_pos_x,1760,176,r2,0.7464513344017343,0.7173299489776392,0.7707536893008026,0.0,
