exp,encoder,train_condition,layer,view,task,eval_condition,target,metric,value,ci_low,ci_high,seed_sd,n_seeds,trivial,majority_rate
D,dinov2_b,base,8,mean,real,base,obj_pos_x,r2,0.927682399885874,0.9120870657238561,0.9386418542205316,0.003605408417271729,5,0.0,
D,dinov2_b,base,8,mean,real,base,obj_pos_y,r2,0.8967853516710124,0.8754138847100182,0.9122063487268061,0.004824935512418094,5,0.0,
D,dinov2_b,base,8,mean,real,base,obj_speed,r2,0.2542271201390922,0.21158640010706195,0.288913257148175,0.011975602253180444,5,0.0,
D,dinov2_b,base,8,mean,real,base,support_state,auroc,0.8931942773299996,0.875875842626793,0.9150818933458115,0.005502950529750392,5,0.5,0.8443333333333334
D,dinov2_b,base,8,mean,real,base,support_state,balanced_accuracy,0.7617080920041676,0.7304137133154852,0.7948854612078659,0.009715214820697923,5,0.5,0.8443333333333334
D,dinov2_b,base,11,cls,real,base,contact_state,auroc,0.9624666666666666,0.9571787413194445,0.9677009780092592,0.0012418554085531545,5,0.5,0.6
D,dinov2_b,base,11,cls,real,base,contact_state,balanced_accuracy,0.8901388888888888,0.878123263888889,0.903265625,0.0035336237651425496,5,0.5,0.6
D,dinov2_b,base,11,cls,real,base,ee_obj_dist,r2,0.9211069116089996,0.9117939133556348,0.9281401894233559,0.0020968390205487234,5,0.0,
D,dinov2_b,base,11,cls,real,base,friction_slide,r2,-0.0017912594182261765,-0.028566342025785292,0.011309580219214585,0.005693468001164446,5,0.0,
D,dinov2_b,base,11,cls,real,base,log_mass,r2,-0.006409597819484381,-0.02286736908144903,0.004006084675520159,0.0026314994799567066,5,0.0,
D,dinov2_b,base,11,cls,real,base,obj_pos_x,r2,0.8941001152913444,0.8790490087021281,0.9072864245929538,0.003435277641736183,5,0.0,
D,dinov2_b,base,11,cls,real,base,obj_pos_y,r2,0.8594019779148316,0.8386659707781874,0.8786790532696603,0.005750599316443922,5,0.0,
D,dinov2_b,base,11,cls,real,base,obj_speed,r2,0.2427741169714403,0.2048056741027753,0.277485729100036,0.009227523357522895,5,0.0,
D,dinov2_b,base,11,cls,real,base,support_state,auroc,0.88911004884277,0.8668329831079061,0.9136028467159106,0.007725614145738622,5,0.5,0.8443333333333334
D,dinov2_b,base,11,cls,real,base,support_state,balanced_accuracy,0.7422734527718559,0.7192696830995,0.7663633103591594,0.004353900628254076,5,0.5,0.8443333333333334
D,dinov2_b,base,11,mean,real,base,contact_state,auroc,0.9619255324074073,0.9568475376157408,0.9673835908564815,0.0009922500634417704,5,0.5,0.6
