exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial,majority_rate
C,1,random_b,base,2,mean,real,base,support_state,6000,600,balanced_accuracy,0.5970431205508226,0.5827606764409922,0.612275135239898,0.5,0.836
C,1,random_b,base,2,mean,real,base,support_state,6000,600,auroc,0.7469001633796243,0.7269863605545457,0.765811576339499,0.5,0.836
C,1,random_b,base,5,cls,real,base,contact_state,6000,600,balanced_accuracy,0.7463194444444444,0.7363194444444445,0.7560416666666667,0.5,0.6
C,1,random_b,base,5,cls,real,base,contact_state,6000,600,auroc,0.8423868055555556,0.8346123726851852,0.8493023929398148,0.5,0.6
C,1,random_b,base,5,cls,real,base,ee_obj_dist,6000,600,r2,0.6100808509832056,0.5966527793246387,0.6237322892859387,0.0,
C,1,random_b,base,5,cls,real,base,friction_slide,6000,600,r2,0.0024769317727301177,-0.008139555663061487,0.007608310560611699,0.0,
C,1,random_b,base,5,cls,real,base,log_mass,6000,600,r2,-0.0027736180644530872,-0.015724962416961308,0.004624151249958112,0.0,
C,1,random_b,base,5,cls,real,base,obj_pos_x,6000,600,r2,0.4686529737229185,0.4402333066469232,0.49416392287260497,0.0,
C,1,random_b,base,5,cls,real,base,obj_pos_y,6000,600,r2,0.45953850688453535,0.4303537242346044,0.48761591919600455,0.0,
C,1,random_b,base,5,cls,real,base,obj_speed,6000,600,r2,0.08722101169122876,0.0703838709641967,0.1027930184395504,0.0,
C,1,random_b,base,5,cls,real,base,support_state,6000,600,balanced_accuracy,0.5932163418524137,0.5779679870907661,0.6087449602816895,0.5,0.836
C,1,random_b,base,5,cls,real,base,support_state,6000,600,auroc,0.7425508697371662,0.7214739254169066,0.7630801510586945,0.5,0.836
C,1,random_b,base,5,mean,real,base,contact_state,6000,600,balanced_accuracy,0.7592361111111111,0.7492361111111112,0.769376736111111,0.5,0.6
C,1,random_b,base,5,mean,real,base,contact_state,6000,600,auroc,0.8501167824074074,0.842581027199074,0.8574698379629629,0.5,0.6
C,1,random_b,base,5,mean,real,base,ee_obj_dist,6000,600,r2,0.6232636244392689,0.609397030644677,0.6370335522296701,0.0,
C,1,random_b,base,5,mean,real,base,friction_slide,6000,600,r2,0.005097744203952592,-0.005513221912143218,0.010290591395202704,0.0,
C,1,random_b,base,5,mean,real,base,log_mass,6000,600,r2,-0.0034777730445956223,-0.01670339218728615,0.0036695414665031084,0.0,
C,1,random_b,base,5,mean,real,base,obj_pos_x,6000,600,r2,0.4929705582916848,0.46730783014910887,0.5162767400683056,0.0,
C,1,random_b,base,5,mean,real,base,obj_pos_y,6000,600,r2,0.497298269645423,0.4723975674933849,0.5213337630723299,0.0,
C,1,random_b,base,5,mean,real,base,obj_speed,6000,600,r2,0.08726182938823102,0.07065551743598907,0.10236785882223536,0.0,
C,1,random_b,base,5,mean,real,base,support_state,6000,600,balanced_accuracy,0.5943541642354222,0.5810808575451871,0.6085030718126763,0.5,0.836
C,1,random_b,base,5,mean,real,base,support_state,6000,600,auroc,0.7536280244680438,0.7330828615695637,0.7720623570190136,0.5,0.836
C,1,random_b,base,8,cls,real,base,contact_state,6000,600,balanced_accuracy,0.7582638888888888,0.7484027777777778,0.7677100694444444,0.5,0.6
C,1,random_b,base,8,cls,real,base,contact_state,6000,600,auroc,0.8469650462962963,0.8395289728009259,0.8539792795138889,0.5,0.6
C,1,random_b,base,8,cls,real,base,ee_obj_dist,6000,600,r2,0.6150591625378925,0.6019705760809466,0.6287850652891163,0.0,
C,1,random_b,base,8,cls,real,base,friction_slide,6000,600,r2,0.002504175078705928,-0.008560630067433928,0.008001481596245988,0.0,
C,1,random_b,base,8,cls,real,base,log_mass,6000,600,r2,-0.002741655262527898,-0.01584948929604505,0.004602402837071405,0.0,
C,1,random_b,base,8,cls,real,base,obj_pos_x,6000,600,r2,0.47032964700233715,0.441763123044261,0.49609659611991686,0.0,
C,1,random_b,base,8,cls,real,base,obj_pos_y,6000,600,r2,0.48633120306280986,0.4614496448520065,0.5105892573419221,0.0,
C,1,random_b,base,8,cls,real,base,obj_speed,6000,600,r2,0.08562003711791843,0.07032929917977987,0.09998139848951965,0.0,
C,1,random_b,base,8,cls,real,base,support_state,6000,600,balanced_accuracy,0.5926717431049908,0.5779548537485549,0.6072050485292232,0.5,0.836
C,1,random_b,base,8,cls,real,base,support_state,6000,600,auroc,0.7535907453871189,0.7335007396184169,0.7730610355885275,0.5,0.836
C,1,random_b,base,8,mean,real,base,contact_state,6000,600,balanced_accuracy,0.768125,0.7583298611111111,0.7778472222222221,0.5,0.6
C,1,random_b,base,8,mean,real,base,contact_state,6000,600,auroc,0.8571126157407407,0.8502041087962963,0.8642932841435185,0.5,0.6
C,1,random_b,base,8,mean,real,base,ee_obj_dist,6000,600,r2,0.6252005470183712,0.6112781432661978,0.639001671775421,0.0,
C,1,random_b,base,8,mean,real,base,friction_slide,6000,600,r2,0.004581174237152985,-0.00600388369134206,0.009983529393054422,0.0,
C,1,random_b,base,8,mean,real,base,log_mass,6000,600,r2,-0.003672295078941623,-0.016890445367430694,0.003580935560501024,0.0,
C,1,random_b,base,8,mean,real,base,obj_pos_x,6000,600,r2,0.4932925707952882,0.46944210921058765,0.5147261230431381,0.0,
C,1,random_b,base,8,mean,real,base,obj_pos_y,6000,600,r2,0.4973453913638246,0.471536675265231,0.5212634571059308,0.0,
C,1,random_b,base,8,mean,real,base,obj_speed,6000,600,r2,0.0881824130796065,0.07199900770388294,0.10312268656856376,0.0,
C,1,random_b,base,8,mean,real,base,support_state,6000,600,balanced_accuracy,0.5946726572528883,0.5798419795507334,0.6092031398548681,0.5,0.836
C,1,random_b,base,8,mean,real,base,support_state,6000,600,auroc,0.7586203822564541,0.7385002339321259,0.7779824863787324,0.5,0.836
C,1,raw_pixel,base,0,mean,real,base,contact_state,6000,600,balanced_accuracy,0.8113194444444445,0.8038177083333333,0.8188211805555556,0.5,0.6
C,1,raw_pixel,base,0,mean,real,base,contact_state,6000,600,auroc,0.9086146990740741,0.9039409751157407,0.9133535590277778,0.5,0.6
C,1,raw_pixel,base,0,mean,real,base,ee_obj_dist,6000,600,r2,0.7924526414398642,0.7803348854871808,0.8047964164644661,0.0,
C,1,raw_pixel,base,0,mean,real,base,friction_slide,6000,600,r2,0.004548426731761146,-0.007098609459056859,0.010556296698114238,0.0,
C,1,raw_pixel,base,0,mean,real,base,log_mass,6000,600,r2,-0.004435306812232254,-0.018666478711904445,0.004939873678709639,0.0,
C,1,raw_pixel,base,0,mean,real,base,obj_pos_x,6000,600,r2,0.7797849044835793,0.7644703023508339,0.7945580942839898,0.0,
C,1,raw_pixel,base,0,mean,real,base,obj_pos_y,6000,600,r2,0.6895094900069274,0.6647564291076574,0.7124463920391022,0.0,
C,1,raw_pixel,base,0,mean,real,base,obj_speed,6000,600,r2,0.21719591297590313,0.19522061375167338,0.23694907607979962,0.0,
C,1,raw_pixel,base,0,mean,real,base,support_state,6000,600,balanced_accuracy,0.7112167892013848,0.6943869550856632,0.7287875923770664,0.5,0.836
C,1,raw_pixel,base,0,mean,real,base,support_state,6000,600,auroc,0.8293132707044774,0.8127027717011932,0.8452510296099806,0.5,0.836
C,2,random_b,base,11,cls,real,base,contact_state,6000,600,balanced_accuracy,0.7484722222222222,0.7386111111111111,0.7581249999999999,0.5,0.6
C,2,random_b,base,11,cls,real,base,contact_state,6000,600,auroc,0.8494490740740741,0.8423442824074074,0.8567593576388889,0.5,0.6
C,2,random_b,base,11,cls,real,base,ee_obj_dist,6000,600,r2,0.607628822459011,0.5926862014945438,0.6225038569979559,0.0,
C,2,random_b,base,11,cls,real,base,friction_slide,6000,600,r2,-0.0023880290636628665,-0.015142102178084066,0.005208285344655292,0.0,
C,2,random_b,base,11,cls,real,base,log_mass,6000,600,r2,-0.001331854832733681,-0.01548100340098848,0.00735660663327172,0.0,
C,2,random_b,base,11,cls,real,base,obj_pos_x,6000,600,r2,0.4861074831319012,0.46527049349371663,0.5053438162017697,0.0,
C,2,random_b,base,11,cls,real,base,obj_pos_y,6000,600,r2,0.4699131930057274,0.4439630532137453,0.49343748732789955,0.0,
C,2,random_b,base,11,cls,real,base,obj_speed,6000,600,r2,0.08828545430654444,0.07300667211119097,0.10116350137912321,0.0,
C,2,random_b,base,11,cls,real,base,support_state,6000,600,balanced_accuracy,0.598250519798775,0.5843148945988775,0.6132896254930391,0.5,0.837
C,2,random_b,base,11,cls,real,base,support_state,6000,600,auroc,0.7599152685240158,0.7414971274876225,0.7787013825403281,0.5,0.837
C,2,random_b,base,11,mean,real,base,contact_state,6000,600,balanced_accuracy,0.76375,0.7545815972222223,0.7731250000000001,0.5,0.6
C,2,random_b,base,11,mean,real,base,contact_state,6000,600,auroc,0.8547929398148149,0.8480333391203704,0.8617336053240741,0.5,0.6
C,2,random_b,base,11,mean,real,base,ee_obj_dist,6000,600,r2,0.6300104155646218,0.6163864094935071,0.6425527480145506,0.0,
C,2,random_b,base,11,mean,real,base,friction_slide,6000,600,r2,-0.0008941384454455026,-0.013044809416118524,0.007002780219889035,0.0,
C,2,random_b,base,11,mean,real,base,log_mass,6000,600,r2,-0.0007811917458822037,-0.014797003301628314,0.007632619578352661,0.0,
C,2,random_b,base,11,mean,real,base,obj_pos_x,6000,600,r2,0.48935406374015167,0.4641466140420708,0.5121810154528522,0.0,
C,2,random_b,base,11,mean,real,base,obj_pos_y,6000,600,r2,0.5027834294877858,0.4780589294304011,0.5266113308656591,0.0,
C,2,random_b,base,11,mean,real,base,obj_speed,6000,600,r2,0.09505002331351076,0.07809991518834981,0.11004608565444414,0.0,
C,2,random_b,base,11,mean,real,base,support_state,6000,600,balanced_accuracy,0.60730760115614,0.5923764186742387,0.6232552922052312,0.5,0.837
